author,comment,publishedAt,likeCount
@wiro2612,Skor antutu 10 berapa?,2024-03-17T03:13:18Z,321
@JagatReview,Kenapa ga nonton dulu aja ya?,2024-03-17T03:18:47Z,229
@wiro2612,"Terima kasih @jagatReview. Sblmnya mndengerkan review sambil aktivitas, jd kelewat. Setelah disimak, terlihat antutu 10 di 700rb an.",2024-03-17T03:29:39Z,63
@dhehanz,"Antutunya 1,500jt",2024-03-17T03:35:13Z,52
@JagatReview,​@wiro2612salah nonton 🤣🤣🤣🤣... Belum nonton neh,2024-03-17T04:01:11Z,93
@orlamarch,​@wiro2612nanya sendiri jawab sendiri. otak dimana,2024-03-17T04:06:03Z,58
@pomas_official,"Permisi Kak, apakah HP bekas review ini dijual lagi? Jika iya, bisa dibeli di mana ya? Terima kasih 🙏",2026-06-16T01:02:09Z,0
@stpidpple,"Redmi 4a
Oppo a37f
Oppo f5
Redmi note 7
Redmi note 8
Samsung a24 
Oppo a6 pro
Samsung s21 plus 5g
Samsung a54 5g
Samsung a17 5g
Samsung a35 5g
Samsung a55 5g",2026-05-10T15:16:05Z,1
@agussulaeman2329,keren,2026-05-02T14:32:35Z,0
@akbar9696,Hm..,2026-04-28T04:11:08Z,1
@DellaTriWidya,"Boleh bantu saran dong, better second A55 atau new A26 ya?",2026-04-19T23:16:40Z,0
@BlackSupremacist,Better S26 Ultra atau A03 Core kak,2026-04-21T16:42:53Z,0
@RioChristian-l2r,Sayangnya akan mentok di Android 18 aj ya updatenya?,2026-03-15T16:17:22Z,0
@Rendi-m2g,2026 baru beli samsung a55 hehe😅,2026-03-08T14:30:26Z,0
@Samuelwahyusaputro,Beli harga 1850 sangat bagus walupu  layar retak tapi sentuh  normal😊,2026-01-25T01:50:18Z,1
@naufalchannel9808,Ram berapa kak harga segitu,2026-02-15T10:00:34Z,0
@Samuelwahyusaputro,​@naufalchannel98088/256,2026-02-15T11:55:51Z,0
@Rindiani-o7d,KLO hp Samsung hilang bisa dilacak nggak..posisi hp TDK aktif bang,2025-12-28T14:54:32Z,1
@Samuelwahyusaputro,Yah klo ada akun samsung nya bsa,2026-01-25T01:53:16Z,0
@ImYourNicolas,"Sejak beli HP ini hampir sebulan yang lalu, HP dan laptop aku pake semuanya pake AMD. Laptop pake Ryzen 9 5000, HP pake GPU RDNA.",2025-11-05T16:26:58Z,0
@fahrezamajid.H8611,Nonton pakai a33 5g,2025-11-01T06:41:11Z,0
@doniprasetya-dp5yo,Bisa wireless charging tidak ya...,2025-10-10T12:32:30Z,0
@diandrasaepudin0114,"enggak Samsung A series belum support wireless charging,kalo mau cari wireless charging ambil seri S nya jangan seri A",2025-10-18T19:07:44Z,0
@KeShaw23,"Bought Samsung A55 from December 2024 at Official store in Living World, Bali. Within just 6 months I had 2 problems with this unit, the screen was frozen but I could hear the ringtone of the phone call and everything. I went to Samsung service to request a new unit to replace this faulty unit and they could not provide it. In September, it happend again, my phone froze again, the same exact problem. Where is your customer service @samsungindonesia ????? This is how you treat your customer?",2025-10-01T03:16:13Z,1
@dirgahayuanggota2394,gw suka penjelasan chanel ini dr pada lainnya lenkap bngt dgn uji labfor,2025-09-16T15:55:23Z,1
@yudhagocar-lb5sf,Harga brp skg?,2025-09-12T09:09:13Z,0
@suyargbr,Uda ada punyaku,2025-08-15T07:17:01Z,0
@permoon93,Baru kebeli setelah 1 tahun rilis ❤❤❤❤,2025-08-11T06:36:19Z,0
@asellia3662,Bingung antara a55 atau Infinix Hot50Pro/note50 😢,2025-07-04T03:40:02Z,1
@AkranX7iskandar,A55 aja sekalian lebih bagus malahan,2025-10-22T11:16:44Z,0
@hibangjol,Ultrawide bisa 60 fps gk,2025-05-06T04:50:55Z,0
@ambisitv1985,Pengen beli tapi banyak yg bilang kamera selfinya pucat.jadi bingung 😢,2025-04-29T04:42:23Z,0
@zeewit2768,Take it. No doubt,2025-08-02T05:45:12Z,0
